Parameters,APERTIF,PMSURV,WHOLESKY,HTRU,VLA-L-BAND,ASKAP-INCOH,ASKAP-FLY,GUPPI,PALFA,ARECIBO-SPF,ALFABURST,UTMOST-1D,UTMOST-2D,MWA,LWA,MEERKAT,CHIME,DSA10,EMERLIN,VFASTR,APERTIF-IAB-10,APERTIF-IAB-12,APERTIF-IAB-1,LOFAR,FAST
survey degradation factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1
antenna gain (K/Jy),1.1,0.581,0.6,0.69,1,1,1,2,9,1,1,3,3.5,1,1,1,1.4,0.3,1,1,0.316,0.346,0.1,5.6,20
integration time (s),10800,2100,86400,270,60,3600,3600,120,204,1000,1000,184,184,28,1000,1000,1000,1000,1000,1000,10800,10800,10800,1020,2100
sampling time (ms),0.04096,0.25,0.3,0.064,1,1.265,1.265,1.024,0.0655,0.26,0.1,1,1,1,5000,0.1,1,0.05,0.128,0.8,0.04096,0.04096,0.04096,1.31,0.05
system temperature (K),70,28,25,28,420,333.333,577.35,1.16,3.4,3,3.4,400,100.44,172.55,6000,450,50,60,500,302,70,70,70,160,25
centre frequency (MHz),1400,1374,1374,1352,1352,1320,1320,800,1375,1375,1375,843,843,200,50,1285,600,1400,1400,1550,1400,1400,1400,143,1374
bandwidth (MHz),300,288,288,340,244,336,336,200,300,500,50,16,15,30.72,0.075,470,400,230,128,64,300,300,300,47.66,512
channel bandwidth (MHz),0.19531,3,1,0.390625,1,1,1,0.05,0.390625,0.390625,0.390625,0.1,0.1,0.04,0.0125,1,0.1,0.122,0.125,1,0.19531,0.19531,0.19531,0.012,0.5
number of polarizations,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
beam size (deg^2),8.7,0.5551,8.7,0.5551,0.2,30,160,0.014,0.0189,0.0189,0.0189,7.8,5.3,375,20,0.785,180,5.8,0.2,0.2,8.7,8.7,8.7,290,2
minimum RA (deg),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maximum RA (deg),360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
minimum DEC (deg),-37.1,-90,-90,-90,-55.921,-90,-90,-51.57,-71.656,-71.656,-71.656,-90,-90,-90,-55.93,-90,-40.679,-52.768,-36.71,-70.1989,-37.1,-37.1,-37.1,-30,-35
maximum DEC (deg),90,57,90,90,90,63.304,63.304,90,90,90,90,18,54.6293,63.3,90,59.279,90,90,90,90,90,90,90,90,90
minimum Galactic longitude (deg),-180,-100,-180,-120,-180,-180,-180,-180,30,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180
maximum Galactic longitude (deg),180,50,180,30,180,180,180,180,78,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
minimum 2 Galactic longitude (deg),#,#,#,#,#,#,#,#,162,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
maximum 2 Galactic longitude (deg),#,#,#,#,#,#,#,#,214,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
minimum Galactic latitude (deg),-90,0,-90,-15,-90,-90,-90,-90,-5,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
maximum Galactic latitude (deg),90,5,90,15,90,90,90,90,5,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
fractional uptime [0-1],1,1,1,0.5,0.09,0.5,0.5,0.5,0.02,1,0.3,0.5,0.5,0.75,0.7,0.11,0.7,0.8,0.2,0.1,1,1,1,1,1
signal-to-noise ratio [0-1],8,9,9,8,8,9,9,8,8,8,8,10,10,8,8,8,8,8,8,8,8,8,8,9,9
reference,leon-oostrum,http://adsabs.harvard.edu/abs/2001MNRAS.328...17M,,https://academic.oup.com/mnras/article/409/2/619/1037409,,http://proceedings.spiedigitallibrary.org/pdfaccess.ashx?url=/data/conferences/spiep/67835/84442a.pdf,https://arxiv.org/pdf/1705.07581.pdf,https://arxiv.org/pdf/1512.00529.pdf,,,,https://arxiv.org/pdf/1601.02444.pdf,,,,,,,,,,,,psrpoppy,psrpoppy
colour,#FF7F0E,#1F77B4,#7F7F7F,#17BECF,,#C5B0D5,#E377C2,#2CA02C,#9467BD,#98DF8A,#BCBD22,#D62728,#FF9896,,,#BEA36E,#83230A,,,,,,,#FFBB78,#A2DCE6